"Major area, region, country or area *",Period,Age (x),Age interval (n),"Central death rate m(x,n)"
El Salvador,2010-2015,40,5,0.00429
El Salvador,2010-2015,45,5,0.00549
El Salvador,2010-2015,50,5,0.00725
El Salvador,2010-2015,55,5,0.00961
El Salvador,2010-2015,60,5,0.01325
El Salvador,2010-2015,65,5,0.01911
El Salvador,2010-2015,70,5,0.02821
El Salvador,2010-2015,75,5,0.04491
El Salvador,2010-2015,80,5,0.07753
El Salvador,2010-2015,85,15,0.16798
Equatorial Guinea,2010-2015,0,1,0.07402
Equatorial Guinea,2010-2015,1,4,0.01075
Equatorial Guinea,2010-2015,5,5,0.00411
Equatorial Guinea,2010-2015,10,5,0.00261
Equatorial Guinea,2010-2015,15,5,0.00301
Equatorial Guinea,2010-2015,20,5,0.00433
Equatorial Guinea,2010-2015,25,5,0.00604
Equatorial Guinea,2010-2015,30,5,0.00745
Equatorial Guinea,2010-2015,35,5,0.00902
Equatorial Guinea,2010-2015,40,5,0.00885
Equatorial Guinea,2010-2015,45,5,0.00915
Equatorial Guinea,2010-2015,50,5,0.01139
Equatorial Guinea,2010-2015,55,5,0.01477
Equatorial Guinea,2010-2015,60,5,0.02204
Equatorial Guinea,2010-2015,65,5,0.03385
Equatorial Guinea,2010-2015,70,5,0.05336
Equatorial Guinea,2010-2015,75,5,0.08461
Equatorial Guinea,2010-2015,80,5,0.13437
Equatorial Guinea,2010-2015,85,15,0.23520
Eritrea,2010-2015,0,1,0.04833
Eritrea,2010-2015,1,4,0.00352
Eritrea,2010-2015,5,5,0.00097
Eritrea,2010-2015,10,5,0.00083
Eritrea,2010-2015,15,5,0.00131
Eritrea,2010-2015,20,5,0.00198
Eritrea,2010-2015,25,5,0.00270
Eritrea,2010-2015,30,5,0.00365
Eritrea,2010-2015,35,5,0.00495
Eritrea,2010-2015,40,5,0.00664
Eritrea,2010-2015,45,5,0.00914
Eritrea,2010-2015,50,5,0.01322
Eritrea,2010-2015,55,5,0.01980
Eritrea,2010-2015,60,5,0.03012
Eritrea,2010-2015,65,5,0.04469
Eritrea,2010-2015,70,5,0.06423
Eritrea,2010-2015,75,5,0.09194
Eritrea,2010-2015,80,5,0.13104
Eritrea,2010-2015,85,15,0.20684
Estonia,2010-2015,0,1,0.00321
Estonia,2010-2015,1,4,0.00028
Estonia,2010-2015,5,5,0.00016
Estonia,2010-2015,10,5,0.00018
Estonia,2010-2015,15,5,0.00040
Estonia,2010-2015,20,5,0.00077
Estonia,2010-2015,25,5,0.00126
Estonia,2010-2015,30,5,0.00163
Estonia,2010-2015,35,5,0.00177
Estonia,2010-2015,40,5,0.00261
Estonia,2010-2015,45,5,0.00397
Estonia,2010-2015,50,5,0.00615
Estonia,2010-2015,55,5,0.00934
Estonia,2010-2015,60,5,0.01432
Estonia,2010-2015,65,5,0.01983
Estonia,2010-2015,70,5,0.02865
Estonia,2010-2015,75,5,0.04471
Estonia,2010-2015,80,5,0.07510
Estonia,2010-2015,85,15,0.16845
Ethiopia,2010-2015,0,1,0.05209
Ethiopia,2010-2015,1,4,0.00643
Ethiopia,2010-2015,5,5,0.00254
Ethiopia,2010-2015,10,5,0.00196
Ethiopia,2010-2015,15,5,0.00241
Ethiopia,2010-2015,20,5,0.00294
Ethiopia,2010-2015,25,5,0.00336
Ethiopia,2010-2015,30,5,0.00420
Ethiopia,2010-2015,35,5,0.00571
Ethiopia,2010-2015,40,5,0.00679
Ethiopia,2010-2015,45,5,0.00769
Ethiopia,2010-2015,50,5,0.00969
Ethiopia,2010-2015,55,5,0.01233
Ethiopia,2010-2015,60,5,0.01859
Ethiopia,2010-2015,65,5,0.02911
Ethiopia,2010-2015,70,5,0.04694
Ethiopia,2010-2015,75,5,0.07619
Ethiopia,2010-2015,80,5,0.12358
Ethiopia,2010-2015,85,15,0.22470
EUROPE,2010-2015,0,1,0.00531
EUROPE,2010-2015,1,4,0.00028
EUROPE,2010-2015,5,5,0.00014
EUROPE,2010-2015,10,5,0.00017
EUROPE,2010-2015,15,5,0.00040
EUROPE,2010-2015,20,5,0.00076
EUROPE,2010-2015,25,5,0.00114
EUROPE,2010-2015,30,5,0.00155
EUROPE,2010-2015,35,5,0.00196
EUROPE,2010-2015,40,5,0.00251
EUROPE,2010-2015,45,5,0.00376
EUROPE,2010-2015,50,5,0.00593
EUROPE,2010-2015,55,5,0.00898
EUROPE,2010-2015,60,5,0.01246
EUROPE,2010-2015,65,5,0.01676
EUROPE,2010-2015,70,5,0.02716
EUROPE,2010-2015,75,5,0.04546
EUROPE,2010-2015,80,5,0.07495
EUROPE,2010-2015,85,15,0.15922
Fiji,2010-2015,0,1,0.01625
Fiji,2010-2015,1,4,0.00099
Fiji,2010-2015,5,5,0.00050
Fiji,2010-2015,10,5,0.00042
Fiji,2010-2015,15,5,0.00086
Fiji,2010-2015,20,5,0.00124
Fiji,2010-2015,25,5,0.00144
Fiji,2010-2015,30,5,0.00181
Fiji,2010-2015,35,5,0.00259
Fiji,2010-2015,40,5,0.00399
Fiji,2010-2015,45,5,0.00628
Fiji,2010-2015,50,5,0.00980
Fiji,2010-2015,55,5,0.01491
Fiji,2010-2015,60,5,0.02272
Fiji,2010-2015,65,5,0.03421
Fiji,2010-2015,70,5,0.05225
Fiji,2010-2015,75,5,0.07955
Fiji,2010-2015,80,5,0.12324
Fiji,2010-2015,85,15,0.21560
Finland,2010-2015,0,1,0.00226
Finland,2010-2015,1,4,0.00016
Finland,2010-2015,5,5,0.00010
Finland,2010-2015,10,5,0.00009
Finland,2010-2015,15,5,0.00034
Finland,2010-2015,20,5,0.00064
Finland,2010-2015,25,5,0.00070
Finland,2010-2015,30,5,0.00075
Finland,2010-2015,35,5,0.00098
Finland,2010-2015,40,5,0.00146
Finland,2010-2015,45,5,0.00236
Finland,2010-2015,50,5,0.00384
Finland,2010-2015,55,5,0.00592
Finland,2010-2015,60,5,0.00880
Finland,2010-2015,65,5,0.01295
Finland,2010-2015,70,5,0.01955
Finland,2010-2015,75,5,0.03319
Finland,2010-2015,80,5,0.06128
Finland,2010-2015,85,15,0.16052
France,2010-2015,0,1,0.00335
France,2010-2015,1,4,0.00016
France,2010-2015,5,5,0.00008
France,2010-2015,10,5,0.00009
France,2010-2015,15,5,0.00028
France,2010-2015,20,5,0.00045
France,2010-2015,25,5,0.00052
France,2010-2015,30,5,0.00061
France,2010-2015,35,5,0.00092
France,2010-2015,40,5,0.00149
France,2010-2015,45,5,0.00251
France,2010-2015,50,5,0.00413
France,2010-2015,55,5,0.00597
France,2010-2015,60,5,0.00793
France,2010-2015,65,5,0.01095
France,2010-2015,70,5,0.01634
France,2010-2015,75,5,0.02734
France,2010-2015,80,5,0.04964
France,2010-2015,85,15,0.14235
French Guiana,2010-2015,0,1,0.00961
French Guiana,2010-2015,1,4,0.00037
French Guiana,2010-2015,5,5,0.00019
French Guiana,2010-2015,10,5,0.00016
French Guiana,2010-2015,15,5,0.00030
French Guiana,2010-2015,20,5,0.00041
French Guiana,2010-2015,25,5,0.00043
French Guiana,2010-2015,30,5,0.00050
French Guiana,2010-2015,35,5,0.00067
French Guiana,2010-2015,40,5,0.00105
French Guiana,2010-2015,45,5,0.00184
French Guiana,2010-2015,50,5,0.00313
French Guiana,2010-2015,55,5,0.00542
French Guiana,2010-2015,60,5,0.00908
French Guiana,2010-2015,65,5,0.01571
French Guiana,2010-2015,70,5,0.02673
French Guiana,2010-2015,75,5,0.04560
French Guiana,2010-2015,80,5,0.07886
French Guiana,2010-2015,85,15,0.16811
French Polynesia,2010-2015,0,1,0.00695
French Polynesia,2010-2015,1,4,0.00017
French Polynesia,2010-2015,5,5,0.00010
French Polynesia,2010-2015,10,5,0.00018
French Polynesia,2010-2015,15,5,0.00041
French Polynesia,2010-2015,20,5,0.00062
French Polynesia,2010-2015,25,5,0.00082
French Polynesia,2010-2015,30,5,0.00096
French Polynesia,2010-2015,35,5,0.00132
French Polynesia,2010-2015,40,5,0.00197
French Polynesia,2010-2015,45,5,0.00313
French Polynesia,2010-2015,50,5,0.00518
French Polynesia,2010-2015,55,5,0.00859
French Polynesia,2010-2015,60,5,0.01387
French Polynesia,2010-2015,65,5,0.02208
French Polynesia,2010-2015,70,5,0.03531
French Polynesia,2010-2015,75,5,0.05548
French Polynesia,2010-2015,80,5,0.09225
French Polynesia,2010-2015,85,15,0.17689
Gabon,2010-2015,0,1,0.04479
Gabon,2010-2015,1,4,0.00494
Gabon,2010-2015,5,5,0.00211
Gabon,2010-2015,10,5,0.00164
Gabon,2010-2015,15,5,0.00200
Gabon,2010-2015,20,5,0.00278
Gabon,2010-2015,25,5,0.00437
Gabon,2010-2015,30,5,0.00631
Gabon,2010-2015,35,5,0.00845
Gabon,2010-2015,40,5,0.00806
Gabon,2010-2015,45,5,0.00761
Gabon,2010-2015,50,5,0.00895
Gabon,2010-2015,55,5,0.01125
Gabon,2010-2015,60,5,0.01719
Gabon,2010-2015,65,5,0.02715
Gabon,2010-2015,70,5,0.04386
Gabon,2010-2015,75,5,0.07189
Gabon,2010-2015,80,5,0.11781
Gabon,2010-2015,85,15,0.21844
Gambia,2010-2015,0,1,0.04895
Gambia,2010-2015,1,4,0.00964
Gambia,2010-2015,5,5,0.00317
Gambia,2010-2015,10,5,0.00189
Gambia,2010-2015,15,5,0.00287
Gambia,2010-2015,20,5,0.00403
Gambia,2010-2015,25,5,0.00427
Gambia,2010-2015,30,5,0.00466
Gambia,2010-2015,35,5,0.00530
Gambia,2010-2015,40,5,0.00646
Gambia,2010-2015,45,5,0.00802
Gambia,2010-2015,50,5,0.01121
Gambia,2010-2015,55,5,0.01602
Gambia,2010-2015,60,5,0.02520
Gambia,2010-2015,65,5,0.03953
Gambia,2010-2015,70,5,0.06612
Gambia,2010-2015,75,5,0.11101
Gambia,2010-2015,80,5,0.18303
Gambia,2010-2015,85,15,0.30737
Georgia,2010-2015,0,1,0.01383
Georgia,2010-2015,1,4,0.00069
Georgia,2010-2015,5,5,0.00022
Georgia,2010-2015,10,5,0.00023
Georgia,2010-2015,15,5,0.00042
Georgia,2010-2015,20,5,0.00060
Georgia,2010-2015,25,5,0.00092
Georgia,2010-2015,30,5,0.00129
Georgia,2010-2015,35,5,0.00175
Georgia,2010-2015,40,5,0.00249
Georgia,2010-2015,45,5,0.00373
Georgia,2010-2015,50,5,0.00563
Georgia,2010-2015,55,5,0.00832
Georgia,2010-2015,60,5,0.01323
Georgia,2010-2015,65,5,0.02233
Georgia,2010-2015,70,5,0.03727
Georgia,2010-2015,75,5,0.06203
Georgia,2010-2015,80,5,0.10098
Georgia,2010-2015,85,15,0.18837
Germany,2010-2015,0,1,0.00310
Germany,2010-2015,1,4,0.00017
Germany,2010-2015,5,5,0.00008
Germany,2010-2015,10,5,0.00009
Germany,2010-2015,15,5,0.00026
Germany,2010-2015,20,5,0.00036
Germany,2010-2015,25,5,0.00039
Germany,2010-2015,30,5,0.00049
Germany,2010-2015,35,5,0.00072
Germany,2010-2015,40,5,0.00126
Germany,2010-2015,45,5,0.00228
Germany,2010-2015,50,5,0.00373
Germany,2010-2015,55,5,0.00565
Germany,2010-2015,60,5,0.00843
Germany,2010-2015,65,5,0.01253
Germany,2010-2015,70,5,0.02061
Germany,2010-2015,75,5,0.03625
Germany,2010-2015,80,5,0.06468
Germany,2010-2015,85,15,0.16350
Ghana,2010-2015,0,1,0.05327
Ghana,2010-2015,1,4,0.00708
Ghana,2010-2015,5,5,0.00283
Ghana,2010-2015,10,5,0.00171
Ghana,2010-2015,15,5,0.00261
Ghana,2010-2015,20,5,0.00365
Ghana,2010-2015,25,5,0.00389
Ghana,2010-2015,30,5,0.00429
Ghana,2010-2015,35,5,0.00490
Ghana,2010-2015,40,5,0.00603
Ghana,2010-2015,45,5,0.00755
Ghana,2010-2015,50,5,0.01060
Ghana,2010-2015,55,5,0.01511
Ghana,2010-2015,60,5,0.02377
Ghana,2010-2015,65,5,0.03757
Ghana,2010-2015,70,5,0.06330
Ghana,2010-2015,75,5,0.10676
Ghana,2010-2015,80,5,0.17756
Ghana,2010-2015,85,15,0.30097
Greece,2010-2015,0,1,0.00285
Greece,2010-2015,1,4,0.00017
Greece,2010-2015,5,5,0.00010
Greece,2010-2015,10,5,0.00009
Greece,2010-2015,15,5,0.00032
Greece,2010-2015,20,5,0.00052
Greece,2010-2015,25,5,0.00053
Greece,2010-2015,30,5,0.00070
Greece,2010-2015,35,5,0.00087
Greece,2010-2015,40,5,0.00132
Greece,2010-2015,45,5,0.00219
Greece,2010-2015,50,5,0.00353
Greece,2010-2015,55,5,0.00573
Greece,2010-2015,60,5,0.00806
Greece,2010-2015,65,5,0.01224
Greece,2010-2015,70,5,0.01898
Greece,2010-2015,75,5,0.03486
Greece,2010-2015,80,5,0.07357
Greece,2010-2015,85,15,0.15932
Grenada,2010-2015,0,1,0.00967
Grenada,2010-2015,1,4,0.00088
Grenada,2010-2015,5,5,0.00038
Grenada,2010-2015,10,5,0.00023
Grenada,2010-2015,15,5,0.00041
Grenada,2010-2015,20,5,0.00067
Grenada,2010-2015,25,5,0.00101
Grenada,2010-2015,30,5,0.00150
Grenada,2010-2015,35,5,0.00224
Grenada,2010-2015,40,5,0.00332
Grenada,2010-2015,45,5,0.00480
Grenada,2010-2015,50,5,0.00696
Grenada,2010-2015,55,5,0.01063
Grenada,2010-2015,60,5,0.01691
Grenada,2010-2015,65,5,0.02644
Grenada,2010-2015,70,5,0.04209
Grenada,2010-2015,75,5,0.06736
Grenada,2010-2015,80,5,0.10537
Grenada,2010-2015,85,15,0.19481
Guadeloupe,2010-2015,0,1,0.00584
Guadeloupe,2010-2015,1,4,0.00016
Guadeloupe,2010-2015,5,5,0.00016
Guadeloupe,2010-2015,10,5,0.00027
Guadeloupe,2010-2015,15,5,0.00048
Guadeloupe,2010-2015,20,5,0.00080
Guadeloupe,2010-2015,25,5,0.00098
Guadeloupe,2010-2015,30,5,0.00110
Guadeloupe,2010-2015,35,5,0.00127
Guadeloupe,2010-2015,40,5,0.00169
Guadeloupe,2010-2015,45,5,0.00247
Guadeloupe,2010-2015,50,5,0.00357
Guadeloupe,2010-2015,55,5,0.00587
Guadeloupe,2010-2015,60,5,0.00935
Guadeloupe,2010-2015,65,5,0.01357
Guadeloupe,2010-2015,70,5,0.02084
Guadeloupe,2010-2015,75,5,0.03377
Guadeloupe,2010-2015,80,5,0.05432
Guadeloupe,2010-2015,85,15,0.12692
Guam,2010-2015,0,1,0.00980
Guam,2010-2015,1,4,0.00038
Guam,2010-2015,5,5,0.00019
Guam,2010-2015,10,5,0.00016
Guam,2010-2015,15,5,0.00030
Guam,2010-2015,20,5,0.00042
Guam,2010-2015,25,5,0.00044
Guam,2010-2015,30,5,0.00052
Guam,2010-2015,35,5,0.00070
Guam,2010-2015,40,5,0.00108
Guam,2010-2015,45,5,0.00189
Guam,2010-2015,50,5,0.00319
Guam,2010-2015,55,5,0.00551
Guam,2010-2015,60,5,0.00906
Guam,2010-2015,65,5,0.01578
Guam,2010-2015,70,5,0.02733
Guam,2010-2015,75,5,0.04665
Guam,2010-2015,80,5,0.08185
Guam,2010-2015,85,15,0.17395
Guatemala,2010-2015,0,1,0.02309
Guatemala,2010-2015,1,4,0.00231
Guatemala,2010-2015,5,5,0.00073
Guatemala,2010-2015,10,5,0.00063
Guatemala,2010-2015,15,5,0.00151
Guatemala,2010-2015,20,5,0.00246
Guatemala,2010-2015,25,5,0.00317
Guatemala,2010-2015,30,5,0.00367
Guatemala,2010-2015,35,5,0.00401
Guatemala,2010-2015,40,5,0.00460
Guatemala,2010-2015,45,5,0.00557
Guatemala,2010-2015,50,5,0.00676
Guatemala,2010-2015,55,5,0.00905
Guatemala,2010-2015,60,5,0.01259
Guatemala,2010-2015,65,5,0.01873
Guatemala,2010-2015,70,5,0.02921
Guatemala,2010-2015,75,5,0.04559
Guatemala,2010-2015,80,5,0.08547
Guatemala,2010-2015,85,15,0.16772
Guinea,2010-2015,0,1,0.06207
Guinea,2010-2015,1,4,0.01134
Guinea,2010-2015,5,5,0.00354
Guinea,2010-2015,10,5,0.00206
Guinea,2010-2015,15,5,0.00312
Guinea,2010-2015,20,5,0.00434
Guinea,2010-2015,25,5,0.00460
Guinea,2010-2015,30,5,0.00501
Guinea,2010-2015,35,5,0.00566
Guinea,2010-2015,40,5,0.00683
Guinea,2010-2015,45,5,0.00840
Guinea,2010-2015,50,5,0.01166
Guinea,2010-2015,55,5,0.01651
Guinea,2010-2015,60,5,0.02586
Guinea,2010-2015,65,5,0.04058
Guinea,2010-2015,70,5,0.06793
Guinea,2010-2015,75,5,0.11358
Guinea,2010-2015,80,5,0.18674
Guinea,2010-2015,85,15,0.31102
Guinea-Bissau,2010-2015,0,1,0.09803
Guinea-Bissau,2010-2015,1,4,0.01725
Guinea-Bissau,2010-2015,5,5,0.00358
Guinea-Bissau,2010-2015,10,5,0.00208
Guinea-Bissau,2010-2015,15,5,0.00312
Guinea-Bissau,2010-2015,20,5,0.00441
Guinea-Bissau,2010-2015,25,5,0.00467
Guinea-Bissau,2010-2015,30,5,0.00506
Guinea-Bissau,2010-2015,35,5,0.00573
Guinea-Bissau,2010-2015,40,5,0.00691
Guinea-Bissau,2010-2015,45,5,0.00846
Guinea-Bissau,2010-2015,50,5,0.01168
Guinea-Bissau,2010-2015,55,5,0.01650
Guinea-Bissau,2010-2015,60,5,0.02595
Guinea-Bissau,2010-2015,65,5,0.04081
Guinea-Bissau,2010-2015,70,5,0.06832
Guinea-Bissau,2010-2015,75,5,0.11409
Guinea-Bissau,2010-2015,80,5,0.18698
Guinea-Bissau,2010-2015,85,15,0.30628
Guyana,2010-2015,0,1,0.03420
Guyana,2010-2015,1,4,0.00205
Guyana,2010-2015,5,5,0.00109
Guyana,2010-2015,10,5,0.00089
Guyana,2010-2015,15,5,0.00151
Guyana,2010-2015,20,5,0.00217
Guyana,2010-2015,25,5,0.00226
Guyana,2010-2015,30,5,0.00249
Guyana,2010-2015,35,5,0.00312
Guyana,2010-2015,40,5,0.00441
Guyana,2010-2015,45,5,0.00661
Guyana,2010-2015,50,5,0.01007
Guyana,2010-2015,55,5,0.01563
Guyana,2010-2015,60,5,0.02419
Guyana,2010-2015,65,5,0.03742
Guyana,2010-2015,70,5,0.05904
Guyana,2010-2015,75,5,0.09371
Guyana,2010-2015,80,5,0.14818
Guyana,2010-2015,85,15,0.25738
Haiti,2010-2015,0,1,0.04883
Haiti,2010-2015,1,4,0.00815
Haiti,2010-2015,5,5,0.00282
Haiti,2010-2015,10,5,0.00229
Haiti,2010-2015,15,5,0.00284
Haiti,2010-2015,20,5,0.00359
Haiti,2010-2015,25,5,0.00427
Haiti,2010-2015,30,5,0.00486
Haiti,2010-2015,35,5,0.00545
Haiti,2010-2015,40,5,0.00626
Haiti,2010-2015,45,5,0.00755
Haiti,2010-2015,50,5,0.00975
Haiti,2010-2015,55,5,0.01351
Haiti,2010-2015,60,5,0.01984
Haiti,2010-2015,65,5,0.03052
Haiti,2010-2015,70,5,0.04823
Haiti,2010-2015,75,5,0.07701
Haiti,2010-2015,80,5,0.11452
Haiti,2010-2015,85,15,0.19017
High-income countries,2010-2015,0,1,0.00619
High-income countries,2010-2015,1,4,0.00031
High-income countries,2010-2015,5,5,0.00015
High-income countries,2010-2015,10,5,0.00019
High-income countries,2010-2015,15,5,0.00044
High-income countries,2010-2015,20,5,0.00075
High-income countries,2010-2015,25,5,0.00098
High-income countries,2010-2015,30,5,0.00119
High-income countries,2010-2015,35,5,0.00147
High-income countries,2010-2015,40,5,0.00198
High-income countries,2010-2015,45,5,0.00306
High-income countries,2010-2015,50,5,0.00482
High-income countries,2010-2015,55,5,0.00726
High-income countries,2010-2015,60,5,0.01027
High-income countries,2010-2015,65,5,0.01418
High-income countries,2010-2015,70,5,0.02303
High-income countries,2010-2015,75,5,0.03906
High-income countries,2010-2015,80,5,0.06531
High-income countries,2010-2015,85,15,0.14723
Honduras,2010-2015,0,1,0.02847
Honduras,2010-2015,1,4,0.00319
Honduras,2010-2015,5,5,0.00091
Honduras,2010-2015,10,5,0.00074
Honduras,2010-2015,15,5,0.00106
Honduras,2010-2015,20,5,0.00155
Honduras,2010-2015,25,5,0.00205
Honduras,2010-2015,30,5,0.00252
Honduras,2010-2015,35,5,0.00302
Honduras,2010-2015,40,5,0.00364
Honduras,2010-2015,45,5,0.00455
Honduras,2010-2015,50,5,0.00598
Honduras,2010-2015,55,5,0.00830
Honduras,2010-2015,60,5,0.01210
Honduras,2010-2015,65,5,0.01830
Honduras,2010-2015,70,5,0.02838
Honduras,2010-2015,75,5,0.04461
Honduras,2010-2015,80,5,0.07037
Honduras,2010-2015,85,15,0.15045
Hungary,2010-2015,0,1,0.00464
Hungary,2010-2015,1,4,0.00023
Hungary,2010-2015,5,5,0.00011
Hungary,2010-2015,10,5,0.00015
Hungary,2010-2015,15,5,0.00034
Hungary,2010-2015,20,5,0.00045
Hungary,2010-2015,25,5,0.00056
Hungary,2010-2015,30,5,0.00083
Hungary,2010-2015,35,5,0.00148
Hungary,2010-2015,40,5,0.00299
Hungary,2010-2015,45,5,0.00562
Hungary,2010-2015,50,5,0.00879
Hungary,2010-2015,55,5,0.01201
Hungary,2010-2015,60,5,0.01643
Hungary,2010-2015,65,5,0.02275
Hungary,2010-2015,70,5,0.03346
Hungary,2010-2015,75,5,0.05332
Hungary,2010-2015,80,5,0.08972
Hungary,2010-2015,85,15,0.18294
Iceland,2010-2015,0,1,0.00203
Iceland,2010-2015,1,4,0.00015
Iceland,2010-2015,5,5,0.00007
Iceland,2010-2015,10,5,0.00010
Iceland,2010-2015,15,5,0.00027
Iceland,2010-2015,20,5,0.00037
Iceland,2010-2015,25,5,0.00042
Iceland,2010-2015,30,5,0.00064
Iceland,2010-2015,35,5,0.00069
Iceland,2010-2015,40,5,0.00104
Iceland,2010-2015,45,5,0.00139
Iceland,2010-2015,50,5,0.00219
Iceland,2010-2015,55,5,0.00352
Iceland,2010-2015,60,5,0.00632
Iceland,2010-2015,65,5,0.01101
Iceland,2010-2015,70,5,0.01712
Iceland,2010-2015,75,5,0.03233
Iceland,2010-2015,80,5,0.05952
Iceland,2010-2015,85,15,0.15684
India,2010-2015,0,1,0.04283
India,2010-2015,1,4,0.00297
India,2010-2015,5,5,0.00100
India,2010-2015,10,5,0.00073
India,2010-2015,15,5,0.00125
India,2010-2015,20,5,0.00180
India,2010-2015,25,5,0.00199
India,2010-2015,30,5,0.00237
India,2010-2015,35,5,0.00316
India,2010-2015,40,5,0.00408
India,2010-2015,45,5,0.00584
India,2010-2015,50,5,0.00836
India,2010-2015,55,5,0.01287
India,2010-2015,60,5,0.02059
India,2010-2015,65,5,0.03318
India,2010-2015,70,5,0.05109
India,2010-2015,75,5,0.07495
India,2010-2015,80,5,0.10686
India,2010-2015,85,15,0.18393
Indonesia,2010-2015,0,1,0.02553
Indonesia,2010-2015,1,4,0.00136
Indonesia,2010-2015,5,5,0.00066
Indonesia,2010-2015,10,5,0.00058
Indonesia,2010-2015,15,5,0.00118
Indonesia,2010-2015,20,5,0.00159
Indonesia,2010-2015,25,5,0.00172
Indonesia,2010-2015,30,5,0.00204
Indonesia,2010-2015,35,5,0.00269
Indonesia,2010-2015,40,5,0.00375
Indonesia,2010-2015,45,5,0.00560
Indonesia,2010-2015,50,5,0.00849
Indonesia,2010-2015,55,5,0.01308
Indonesia,2010-2015,60,5,0.02227
Indonesia,2010-2015,65,5,0.03480
Indonesia,2010-2015,70,5,0.05527
Indonesia,2010-2015,75,5,0.08945
Indonesia,2010-2015,80,5,0.14275
Indonesia,2010-2015,85,15,0.25093
Iran (Islamic Republic of),2010-2015,0,1,0.01498
Iran (Islamic Republic of),2010-2015,1,4,0.00063
Iran (Islamic Republic of),2010-2015,5,5,0.00026
Iran (Islamic Republic of),2010-2015,10,5,0.00027
Iran (Islamic Republic of),2010-2015,15,5,0.00060
Iran (Islamic Republic of),2010-2015,20,5,0.00102
Iran (Islamic Republic of),2010-2015,25,5,0.00084
Iran (Islamic Republic of),2010-2015,30,5,0.00089
Iran (Islamic Republic of),2010-2015,35,5,0.00102
Iran (Islamic Republic of),2010-2015,40,5,0.00147
Iran (Islamic Republic of),2010-2015,45,5,0.00233
Iran (Islamic Republic of),2010-2015,50,5,0.00411
Iran (Islamic Republic of),2010-2015,55,5,0.00593
Iran (Islamic Republic of),2010-2015,60,5,0.01053
Iran (Islamic Republic of),2010-2015,65,5,0.01886
Iran (Islamic Republic of),2010-2015,70,5,0.03852
Iran (Islamic Republic of),2010-2015,75,5,0.07721
Iran (Islamic Republic of),2010-2015,80,5,0.12025
Iran (Islamic Republic of),2010-2015,85,15,0.21988
Iraq,2010-2015,0,1,0.03304
Iraq,2010-2015,1,4,0.00140
Iraq,2010-2015,5,5,0.00076
Iraq,2010-2015,10,5,0.00064
Iraq,2010-2015,15,5,0.00107
Iraq,2010-2015,20,5,0.00151
Iraq,2010-2015,25,5,0.00164
Iraq,2010-2015,30,5,0.00190
Iraq,2010-2015,35,5,0.00243
Iraq,2010-2015,40,5,0.00339
Iraq,2010-2015,45,5,0.00506
Iraq,2010-2015,50,5,0.00769
Iraq,2010-2015,55,5,0.01194
Iraq,2010-2015,60,5,0.01881
Iraq,2010-2015,65,5,0.03028
Iraq,2010-2015,70,5,0.04929
Iraq,2010-2015,75,5,0.08038
Iraq,2010-2015,80,5,0.13168
Iraq,2010-2015,85,15,0.23622
Ireland,2010-2015,0,1,0.00294
Ireland,2010-2015,1,4,0.00016
Ireland,2010-2015,5,5,0.00007
Ireland,2010-2015,10,5,0.00013
Ireland,2010-2015,15,5,0.00047
Ireland,2010-2015,20,5,0.00059
Ireland,2010-2015,25,5,0.00055
Ireland,2010-2015,30,5,0.00064
Ireland,2010-2015,35,5,0.00084
Ireland,2010-2015,40,5,0.00121
Ireland,2010-2015,45,5,0.00198
Ireland,2010-2015,50,5,0.00298
Ireland,2010-2015,55,5,0.00475
Ireland,2010-2015,60,5,0.00767
Ireland,2010-2015,65,5,0.01262
Ireland,2010-2015,70,5,0.02158
Ireland,2010-2015,75,5,0.03931
Ireland,2010-2015,80,5,0.07182
Ireland,2010-2015,85,15,0.15750
Israel,2010-2015,0,1,0.00350
Israel,2010-2015,1,4,0.00023
Israel,2010-2015,5,5,0.00010
Israel,2010-2015,10,5,0.00010
Israel,2010-2015,15,5,0.00025
Israel,2010-2015,20,5,0.00036
Israel,2010-2015,25,5,0.00041
Israel,2010-2015,30,5,0.00049
Israel,2010-2015,35,5,0.00066
Israel,2010-2015,40,5,0.00099
Israel,2010-2015,45,5,0.00160
Israel,2010-2015,50,5,0.00265
Israel,2010-2015,55,5,0.00440
Israel,2010-2015,60,5,0.00715
Israel,2010-2015,65,5,0.01148
Israel,2010-2015,70,5,0.01858
Israel,2010-2015,75,5,0.03151
Israel,2010-2015,80,5,0.05686
Israel,2010-2015,85,15,0.14785
Italy,2010-2015,0,1,0.00230
Italy,2010-2015,1,4,0.00010
Italy,2010-2015,5,5,0.00006
Italy,2010-2015,10,5,0.00008
Italy,2010-2015,15,5,0.00025
Italy,2010-2015,20,5,0.00035
Italy,2010-2015,25,5,0.00037
Italy,2010-2015,30,5,0.00044
Italy,2010-2015,35,5,0.00060
Italy,2010-2015,40,5,0.00093
Italy,2010-2015,45,5,0.00156
Italy,2010-2015,50,5,0.00254
Italy,2010-2015,55,5,0.00410
Italy,2010-2015,60,5,0.00663
Italy,2010-2015,65,5,0.01072
Italy,2010-2015,70,5,0.01755
Italy,2010-2015,75,5,0.03129
Italy,2010-2015,80,5,0.05442
Italy,2010-2015,85,15,0.13773
Jamaica,2010-2015,0,1,0.01525
Jamaica,2010-2015,1,4,0.00072
Jamaica,2010-2015,5,5,0.00034
Jamaica,2010-2015,10,5,0.00036
